theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13
-87.1632044287551,86.9422236258496,-23.5333368802738,51.9914434628027,84.1148988300312,87.9284424029765,31.5730636692506,-51.9914434628026,0,0,0,0,0
-87.2883625444696,86.8857057255131,-23.5114022116895,51.9914434628027,84.3303247854154,87.8039342905885,31.5281827378945,-51.9914434628026,0,0,0,0,0
-87.4796498219734,86.8242421840136,-23.4875452586097,51.9914434628026,84.5734863078988,87.6999244681942,31.4906846538046,-51.9914434628026,0,0,0,0,0
-87.5159743678535,86.8093890669979,-23.4817795945331,51.9914434628026,84.6087465777828,87.6062168872454,31.4568958002968,-51.9914434628027,0,0,0,0,0
-87.5856254464219,86.7784219990059,-23.4697582603398,51.9914434628026,84.8184688231007,87.4300474179606,31.393359563414,-51.9914434628026,0,0,0,0,0
-87.7321130055719,86.7514590345624,-23.4592906684259,51.9914434628027,85.0019030508955,87.3104554365766,31.3502176630219,-51.9914434628026,0,0,0,0,0
-88.0966728745104,86.5913414950315,-23.3971171031891,51.9914434628027,85.4579944113924,87.0824339027859,31.267935317487,-51.9914434628026,0,0,0,0,0
-88.3487764408583,86.4011568185925,-23.3232394778507,51.9914434628027,85.7433918403609,86.864310437972,31.1891914886739,-51.9914434628027,0,0,0,0,0
-88.6105956213246,86.2207834229945,-23.2531424422666,51.9914434628026,86.008062589384,86.5797261791983,31.0864019519792,-51.9914434628026,0,0,0,0,0
-88.9543016869872,85.8805781365425,-23.1208446911986,51.9914434628027,86.4331851487873,86.1808358925696,30.9422153339102,-51.9914434628026,0,0,0,0,0
-89.4917818999804,85.4589525098499,-22.9567144583235,51.9914434628026,87.0741509757073,85.7260529897349,30.7776501450447,-51.9914434628027,0,0,0,0,0
-89.7843339941301,85.0432177919554,-22.7946753821156,51.9914434628026,87.536118226412,85.2020622391088,30.5877823630706,-51.9914434628027,0,0,0,0,0
-90.5114056608271,84.5285818344896,-22.5937819129087,51.9914434628026,88.3810552866568,84.6512258734658,30.3878513638472,-51.9914434628026,0,0,0,0,0
-91.4001134929677,83.7813684485041,-22.3014272849504,51.9914434628026,89.3060404571805,83.9142700293484,30.119759167702,-51.9914434628027,0,0,0,0,0
-91.8658157232849,82.2871602809849,-24.3271469400657,51.9914434628026,89.679240248029,82.3635021011233,32.1348418804316,-51.9914434628027,0,0,0,0,0
-92.9905554270648,81.5516250549853,-24.0426517417784,51.9914434628027,90.7418652842068,81.6088293019083,31.8654118050911,-51.9914434628026,0,0,0,0,0
-93.9206519003515,80.9109240496862,-23.7938898656018,51.9914434628026,91.6600663105397,80.8559246335878,31.5955020732733,-51.9914434628027,0,0,0,0,0
-94.953115959774,80.3577746940724,-23.5783536712999,51.9914434628026,92.670334203695,80.1672583472372,31.3475587362923,-51.9914434628026,0,0,0,0,0
-95.7596564139546,79.8974132425973,-23.3983945171399,51.9914434628026,93.4751212662672,79.5217502745475,31.1141559303205,-51.9914434628026,0,0,0,0,0
-96.5312734039954,79.6045429110755,-23.2836222607608,51.9914434628026,94.1502439454714,79.0274903545717,30.934744316714,-51.9914434628027,0,0,0,0,0
-97.3592266401545,79.3608973869869,-23.1879644922561,51.9914434628027,94.9623434327063,78.6238802032283,30.7877648035779,-51.9914434628027,0,0,0,0,0
-98.3094844387313,79.1878250378924,-23.1199148838388,51.9914434628026,96.5189357151884,78.9969743404672,28.3059796000943,-51.9914434628026,0,0,0,0,0
-98.7332204349463,78.2110431627863,-25.3762273538913,51.9914434628027,97.5056493634268,78.6079931879416,28.1601141172998,-51.9914434628027,0,0,0,0,0
-99.7016316904851,78.0785881869793,-25.3249612191999,51.9914434628027,98.5114787822232,78.2028659862928,28.0077400537904,-51.9914434628027,0,0,0,0,0
-100.306978982963,78.0495979119814,-25.3137335221145,51.9914434628027,99.8332274406492,78.7362964989595,25.5790092126004,-51.9914434628027,0,0,0,0,0
-101.729699022011,78.7505819684914,-22.9476175829795,51.9914434628026,100.9790314584,78.3854154453575,25.4436367129913,-51.9914434628026,0,0,0,0,0
-102.770676899588,78.5285289682458,-22.8599026594091,51.9914434628026,102.486160389543,78.8209607968615,22.9753880198789,-51.9914434628027,0,0,0,0,0
-104.021310968296,79.1402449203711,-20.4610594799481,51.9914434628026,103.817910832208,79.3406855187084,20.5416268771431,-51.9914434628026,0,0,0,0,0
-105.253264300805,79.822922864502,-18.094610278486,51.9914434628027,105.458482150541,80.9296625009475,15.9073702517819,-51.9914434628026,0,0,0,0,0
-106.451955050927,80.418011566359,-15.6960540654889,51.9914434628026,106.73239891086,81.55308110397,13.5261883194948,-51.9914434628027,0,0,0,0,0
-107.845287585156,81.0207528761883,-13.3038337930617,51.9914434628027,107.869902758464,81.3910751399013,13.4585905500252,-51.9914434628026,0,0,0,0,0
-109.00805249829,81.5897484725979,-10.9006166388567,51.9914434628026,108.991521592158,82.1726630427515,11.1464135278332,-51.9914434628027,0,0,0,0,0
-110.410408918628,82.258192112128,-8.0707365368065,51.9914434628026,110.14829276083,83.4706265201696,7.24762394628302,-51.9914434628026,0,0,0,0,0
-111.94419765228,83.8734723474773,-3.39357156485383,51.9914434628027,111.138716633159,83.4410043145464,7.17709789754243,-51.9914434628026,0,0,0,0,0
-112.992311790614,84.6935848529916,-1.03127536983323,51.9914434628027,112.486028183541,84.387743672145,4.86946367321316,-51.9914434628026,0,0,0,0,0
-114.090732211096,85.507038387925,1.34488408795062,51.9914434628026,113.547460949968,85.1756418535946,2.51078057099891,-51.9914434628027,0,0,0,0,0
-114.802931138574,85.4886604500059,1.41704805244269,51.9914434628027,114.492040847049,85.0505076628756,2.39135351841851,-51.9914434628027,0,0,0,0,0
-115.192229843512,86.4900399474296,3.65006468659779,51.9914434628027,115.144773636329,85.8599816007509,0.0586194214070136,-51.9914434628026,0,0,0,0,0
-115.805957225677,86.5150736864237,3.6933928991295,51.9914434628026,115.734782417158,85.7984940480351,-0.0141824660994633,-51.9914434628027,0,0,0,0,0
-115.969697607194,87.4631686760714,5.931832135132,51.9914434628026,115.931131894568,85.6981228523842,-0.077590392553565,-51.9914434628027,0,0,0,0,0
-116.439613901229,87.4493911618236,5.9813326655281,51.9914434628026,116.284458820981,85.6645065855448,-0.121563180056928,-51.9914434628027,0,0,0,0,0
-116.76737832845,87.3426182339086,6.065085052049,51.9914434628027,116.44905312271,85.7381505769959,-0.0979887688671295,-51.9914434628026,0,0,0,0,0
-116.907277796886,87.2146134663349,6.14303472708097,51.9914434628026,116.491022819018,85.695133746719,-0.122604027118431,-51.9914434628026,0,0,0,0,0
-117.050440903628,87.9384308133149,8.49640717214989,51.9914434628026,116.673191806648,85.6474345502207,-0.160756657577059,-51.9914434628026,0,0,0,0,0
-117.229306071179,87.830256951202,8.57025937871242,51.9914434628027,116.784646753879,85.6068366667632,-0.190050496011931,-51.9914434628026,0,0,0,0,0
-117.516514162918,87.7668037635627,8.6334995724318,51.9914434628026,116.947836274301,86.5005152564437,-2.45315849631006,-51.9914434628027,0,0,0,0,0
-117.733106721899,87.7082868620267,8.68741311924675,51.9914434628026,117.128203178326,86.4814100641688,-2.4777156909953,-51.9914434628026,0,0,0,0,0
-117.816901164527,87.7639695846463,8.66726756271542,51.9914434628026,117.231692105813,86.4713260314961,-2.49144505981296,-51.9914434628027,0,0,0,0,0
-117.716898750255,87.7798129878252,8.6482004952211,51.9914434628027,117.189171484209,86.4481293421825,-2.49979553259505,-51.9914434628027,0,0,0,0,0
-117.749339104773,87.7855290697177,8.64868415575101,51.9914434628027,117.28535788447,86.4052148224797,-2.5298895735485,-51.9914434628026,0,0,0,0,0
-117.531844007961,87.7562168220588,8.64064230787992,51.9914434628026,117.104927459126,86.3336523505675,-2.55117003870486,-51.9914434628026,0,0,0,0,0
-117.49987624123,87.70399860793,8.66429719373892,51.9914434628026,117.094538501973,86.2577687886016,-2.58896469264466,-51.9914434628026,0,0,0,0,0
-117.460177562373,87.4651126462141,8.7836647359688,51.9914434628027,116.978137159008,86.0938075465876,-2.66194865053555,-51.9914434628026,0,0,0,0,0
-117.331263584256,87.2748390782052,8.866945041307,51.9914434628026,116.803722560688,85.9373680508349,-2.7248464442262,-51.9914434628026,0,0,0,0,0
-117.290404965818,86.9764247939254,9.01536080244522,51.9914434628026,116.664738437826,85.7635509724301,-2.7987113511,-51.9914434628026,0,0,0,0,0
-117.244043011547,86.8824408191009,9.05774839897727,51.9914434628026,116.545554000924,85.6302347142291,-2.85339491591734,-51.9914434628027,0,0,0,0,0
-117.153028116127,86.7880032992591,9.09445763374062,51.9914434628026,116.386224739271,85.520829296353,-2.891465113535,-51.9914434628026,0,0,0,0,0
