theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13
-146.96786723656945,25.463713189836625,89.23766189649717,51.99144346280194,153.53190564094518,24.91199564153525,-99.32137800639384,-51.99144346280193,0.0,0.0,0.0,0.0,0.0
-146.690175147004,25.502627150873195,89.04556495909338,51.99144346280194,153.21568883650554,24.937893672691505,-98.96018658875059,-51.991443462801925,0.0,0.0,0.0,0.0,0.0
-146.30583079337023,25.53498523739978,88.80110879302175,51.99144346280193,152.88901079910718,24.95396226087798,-98.57525941292678,-51.991443462801925,0.0,0.0,0.0,0.0,0.0
-145.9523105774726,25.567978747858284,88.55215669952285,51.99144346280194,152.5703777877224,24.978525284966643,-98.21167729188919,-51.991443462801925,0.0,0.0,0.0,0.0,0.0
-145.70336231749656,25.599539470250463,88.32594955007049,51.99144346280194,152.38711403506926,25.01292912561678,-97.87006500692992,-51.99144346280193,0.0,0.0,0.0,0.0,0.0
-145.36987323788452,25.620379839407445,88.13914704140737,51.991443462801946,152.16619792425942,25.046260021507834,-97.57918431966054,-51.991443462801925,0.0,0.0,0.0,0.0,0.0
-145.21325744921177,25.63414375638254,87.97602446468163,51.99144346280195,151.91810147090965,25.060240867475475,-97.34630535215744,-51.991443462801925,0.0,0.0,0.0,0.0,0.0
-145.0352881809326,25.6437773414362,87.84331822688,51.991443462801946,151.6556077153606,25.07552064838997,-97.14668127630974,-51.991443462801925,0.0,0.0,0.0,0.0,0.0
-144.84768528441882,25.649498109401332,87.73887910216129,51.99144346280195,151.38884215380853,25.087597575784176,-96.98627422873683,-51.99144346280193,0.0,0.0,0.0,0.0,0.0
-144.66234839607006,25.64779566490043,87.66110879272082,51.991443462801946,151.08716079490603,25.089209727275726,-96.83473870226273,-51.991443462801925,0.0,0.0,0.0,0.0,0.0
-144.48660794331408,25.630367610973586,87.60330397186023,51.991443462801946,150.76131519422825,25.076082964830803,-96.6950628846198,-51.99144346280193,0.0,0.0,0.0,0.0,0.0
-144.32013245199946,25.60014127226347,87.550468035574,51.99144346280197,150.40233203615762,25.051155767239486,-96.54912308096642,-51.99144346280194,0.0,0.0,0.0,0.0,0.0
-144.17842815289507,25.566458677882096,87.50425532819628,51.99144346280195,150.01971676476617,25.023419517103378,-96.39890101195445,-51.99144346280194,0.0,0.0,0.0,0.0,0.0
-143.93320228426825,25.515491423992213,87.48319622167834,51.99144346280195,149.6129385102608,24.988811751087553,-96.2351705711815,-51.99144346280193,0.0,0.0,0.0,0.0,0.0
-143.6925389990775,25.456033467869787,87.48905416483281,51.99144346280195,149.20731018996185,24.950815458246964,-96.0768453589465,-51.99144346280194,0.0,0.0,0.0,0.0,0.0
-143.47086240503114,25.38287275380291,87.52905649221796,51.99144346280195,148.80853271857023,24.914845702119994,-95.9216980628009,-51.99144346280194,0.0,0.0,0.0,0.0,0.0
-143.27100093877502,25.297741344635455,87.597417394807,51.99144346280195,148.44776094065773,24.86951536575319,-95.79456534531982,-51.99144346280194,0.0,0.0,0.0,0.0,0.0
-143.21986149802126,25.191989293401136,87.67680610835458,51.99144346280195,148.117396198176,24.82220630838632,-95.67889851021091,-51.99144346280195,0.0,0.0,0.0,0.0,0.0
-143.14040540171908,25.083217642898482,87.79426224688143,51.99144346280195,147.84248526043788,24.781894551536407,-95.59345450603539,-51.99144346280195,0.0,0.0,0.0,0.0,0.0
-143.03880123232435,24.968514065824643,87.93934545900562,51.99144346280196,147.62028628317435,24.74296717602221,-95.52656328531413,-51.99144346280195,0.0,0.0,0.0,0.0,0.0
-142.92120476735855,24.848403073920835,88.10143045947028,51.99144346280195,147.58812289272365,24.70797906118976,-95.47209857331919,-51.99144346280195,0.0,0.0,0.0,0.0,0.0
-142.80348995335717,24.72666935198371,88.28056427798126,51.99144346280195,147.55746512296645,24.667742367529737,-95.44469954129491,-51.99144346280195,0.0,0.0,0.0,0.0,0.0
-142.68625122905215,24.60389424228964,88.46003862244729,51.991443462801946,147.52637597733488,24.620597288738313,-95.42520543724241,-51.99144346280195,0.0,0.0,0.0,0.0,0.0
-142.56608702738097,24.472758128147824,88.61902147391336,51.99144346280195,147.50838381498397,24.55756826324081,-95.41095732427543,-51.99144346280195,0.0,0.0,0.0,0.0,0.0
-142.46636892539243,24.34791488044415,88.7654607454178,51.99144346280194,147.51899203931112,24.500047344476776,-95.402113617525,-51.99144346280195,0.0,0.0,0.0,0.0,0.0
-142.38861073537302,24.22113529766714,88.88385429639945,51.99144346280194,147.3847401830036,24.431412802399375,-95.42957756625268,-51.99144346280194,0.0,0.0,0.0,0.0,0.0
-142.4164721981994,24.105765766508455,89.01119517807182,51.99144346280194,147.20664248462955,24.366107239716687,-95.48192936160525,-51.99144346280194,0.0,0.0,0.0,0.0,0.0
-142.31328642885384,24.0147114012401,89.16706491332367,51.991443462801925,147.03884164094595,24.317170653489917,-95.55740419727734,-51.99144346280194,0.0,0.0,0.0,0.0,0.0
-142.1950430127445,23.929711971231566,89.31994532814888,51.99144346280191,146.87832789204646,24.260587780254433,-95.6453302942399,-51.99144346280194,0.0,0.0,0.0,0.0,0.0
-142.08576215937785,23.871701507367582,89.48460776944927,51.991443462801925,146.71991654066633,24.222492940680123,-95.7343252694771,-51.99144346280194,0.0,0.0,0.0,0.0,0.0
