Average operating time,Desired Position Motor #1,Present Position Motor #1,Desired Position Motor #2,Present Position Motor #2
31912.8,11.3016,35.0359,-179.644,-177.18
31913.1,0,31.6978,-180,-177.634
31914.2,0,28.4344,-180,-178.063
31913.7,0,25.0942,-180,-178.426
31913.9,-11.3016,21.6557,-179.644,-178.737
31914.5,-11.3016,18.2208,-179.644,-178.905
31914.8,-11.3016,14.7558,-179.644,-179.014
31914.8,-22.5594,11.1682,-178.58,-179.123
31915.9,-22.5594,7.6788,-178.58,-179.136
31915.4,-22.5594,4.08828,-178.58,-179.099
31915.8,-33.7283,0.464773,-176.811,-179.042
31915.9,-33.7283,-3.17093,-176.811,-178.905
31916.1,-33.7283,-6.79516,-176.811,-178.575
31916.1,-44.7638,-10.5363,-174.344,-178.24
31916.2,-44.7638,-14.1447,-174.344,-177.851
31916.7,-44.7638,-17.8149,-174.344,-177.175
31916.6,-55.6229,-21.5087,-171.189,-176.556
31916.8,-55.6229,-25.1695,-171.189,-176.049
31917.3,-55.6229,-28.8253,-171.189,-175.291
31917.2,-66.2618,-32.5635,-167.359,-174.462
31917.5,-66.2618,-36.1957,-167.359,-173.702
31917.6,-66.2618,-39.84,-167.359,-172.702
31918,-66.2618,-43.5761,-167.359,-171.57
31918.1,-76.6403,-47.1573,-162.868,-170.708
31918.3,-76.6403,-50.4753,-162.868,-169.96
31918.5,-76.6403,-53.7502,-162.868,-168.966
31918.7,-86.7154,-57.0323,-157.735,-167.799
31918.9,-86.7154,-60.2936,-157.735,-166.549
31919.3,-86.7154,-63.5262,-157.735,-165.1
31919.3,-96.4484,-66.9037,-151.979,-163.624
31920.2,-96.4484,-70.1234,-151.979,-162.207
31920,-96.4484,-73.4148,-151.979,-160.6
31920.1,-105.801,-76.7342,-145.623,-158.955
31920.1,-105.801,-79.9747,-145.623,-157.317
31920.6,-105.801,-83.2611,-145.623,-155.476
31920.6,-114.736,-86.5813,-138.692,-153.609
31921.4,-114.736,-89.8103,-138.692,-151.752
31921,-114.736,-92.9992,-138.692,-149.762
31921.2,-123.218,-96.2726,-131.214,-147.719
31921.1,-123.218,-99.3733,-131.214,-145.683
31921.3,-123.218,-102.512,-131.214,-143.449
31921.4,-131.214,-105.659,-123.218,-141.176
31921.6,-131.214,-108.684,-123.218,-139.014
31921.8,-131.214,-111.691,-123.218,-136.582
31921.9,-138.692,-114.701,-114.735,-134.172
31922.1,-138.692,-117.623,-114.735,-131.744
31922.4,-138.692,-120.478,-114.735,-129.193
31922.5,-138.692,-123.374,-114.735,-126.573
31922.6,-145.623,-126.082,-105.8,-124.281
31923,-145.623,-128.501,-105.8,-122.145
31923,-145.623,-130.853,-105.8,-119.953
31923.1,-151.979,-133.188,-96.448,-117.523
31923.3,-151.979,-135.445,-96.448,-115.021
31923.5,-151.979,-137.764,-96.448,-112.224
31923.5,-157.735,-140.093,-86.7153,-109.461
31923.7,-157.735,-142.294,-86.7153,-106.696
31923.9,-157.735,-144.528,-86.7153,-103.737
31924,-162.869,-146.753,-76.64,-100.766
31924.2,-162.869,-148.826,-76.64,-97.8596
31924.4,-162.869,-150.894,-76.64,-94.7437
31924.5,-167.359,-152.976,-66.2613,-91.552
31924.7,-167.359,-154.893,-66.2613,-88.4776
31924.8,-167.359,-156.785,-66.2613,-85.203
31925,-171.19,-158.679,-55.6219,-81.8868
31925.1,-171.19,-160.409,-55.6219,-78.7034
31925.3,-171.19,-162.075,-55.6219,-75.3161
31925.3,-174.345,-163.731,-44.7633,-71.9348
31925.5,-174.345,-165.262,-44.7633,-68.6222
31925.7,-174.345,-166.736,-44.7633,-65.1129
31925.8,-176.811,-168.157,-33.728,-61.6284
31926,-176.811,-169.421,-33.728,-58.2234
31926.2,-176.811,-170.635,-33.728,-54.6181
31926.4,-176.811,-171.829,-33.728,-51.0044
31926.5,-178.581,-172.845,-22.5588,-47.7938
31926.7,-178.581,-173.642,-22.5588,-44.7953
31926.8,-178.581,-174.411,-22.5588,-41.7339
31926.9,-179.644,-175.203,-11.3019,-38.5244
31927.1,-179.644,-175.905,-11.3019,-35.2723
31927.3,-179.644,-176.549,-11.3019,-31.8329
31927.3,-180,-177.168,0,-28.3662
31927.5,-180,-177.678,0,-24.9102
31927.7,-180,-178.117,0,-21.229
31927.7,-179.644,-178.489,11.3019,-17.6367
31928.3,-179.644,-178.78,11.3019,-14.08
31928.1,-179.644,-178.944,11.3019,-10.3573
31928.1,-178.581,-179.078,22.5588,-6.67733
31928.3,-178.581,-179.172,22.5588,-3.10993
31928.5,-178.581,-179.137,22.5588,0.662519
31928.6,-176.811,-179.027,33.728,4.39822
31928.8,-176.811,-178.928,33.728,8.04148
31928.9,-176.811,-178.712,33.728,11.8424
31928.8,-174.345,-178.36,44.7633,15.6184
31929.2,-174.345,-178.044,44.7633,19.2616
31929.4,-174.345,-177.645,44.7633,23.0436
31929.7,-174.345,-177.059,44.7633,26.7935
31929.3,-171.19,-176.498,55.6219,30.2376
31929.5,-171.19,-176.056,55.6219,33.3333
31929.7,-171.19,-175.55,55.6219,36.4836
31929.7,-167.359,-174.87,66.2613,39.7357
31929.9,-167.359,-174.102,66.2613,42.963
31930.1,-167.359,-173.179,66.2613,46.413
31930.1,-162.869,-172.139,76.64,49.8169
31930.3,-162.869,-171.152,76.64,53.1816
31930.5,-162.869,-170.118,76.64,56.723
31930.6,-157.735,-168.924,86.7153,60.1967
31930.7,-157.735,-167.697,86.7153,63.5698
31930.9,-157.735,-166.393,86.7153,67.0732
31930.9,-151.979,-164.953,96.448,70.4853
31931.1,-151.979,-163.558,96.448,73.8145
31931.2,-151.979,-162.085,96.448,77.2788
31931.3,-145.623,-160.456,105.8,80.6696
31931.4,-145.623,-158.817,105.8,83.9313
