Average timer callback time, Average topic callback time,Desired Position Motor #1,Present Position Motor #1,Desired Position Motor #2,Present Position Motor #2
31913.1,11.6557,-105.801,-76.1203,-145.623,-159.041
31913.5,11.6557,-105.801,-79.4784,-145.623,-157.414
31914.8,11.6557,-105.801,-82.8559,-145.623,-155.564
31914.1,11.5806,-114.736,-86.3166,-138.692,-153.689
31914.4,11.5806,-114.736,-89.4904,-138.692,-151.817
31914.8,11.5806,-114.736,-92.7194,-138.692,-149.734
31914.9,11.5556,-123.218,-96.0245,-131.214,-147.659
31915.2,11.5556,-123.218,-99.1646,-131.214,-145.646
31915.6,11.5556,-123.218,-102.333,-131.214,-143.39
31915.9,11.5556,-123.218,-105.485,-131.214,-141.115
31916.1,11.5469,-131.214,-108.512,-123.218,-139.2
31916.7,11.5469,-131.214,-111.275,-123.218,-137.538
31916.6,11.5469,-131.214,-113.923,-123.218,-135.828
31916.8,11.5077,-138.692,-116.622,-114.735,-133.855
31917,11.5077,-138.692,-119.224,-114.735,-131.58
31917.2,11.5077,-138.692,-121.825,-114.735,-129.035
31917.3,11.6061,-145.623,-124.504,-105.8,-126.482
31917.5,11.6061,-145.623,-127.052,-105.8,-123.969
31917.8,11.6061,-145.623,-129.592,-105.8,-121.169
31917.9,11.597,-151.979,-132.186,-96.448,-118.438
31918.1,11.597,-151.979,-134.624,-96.448,-115.743
31918.4,11.597,-151.979,-137.065,-96.448,-112.837
31918.5,11.6912,-157.735,-139.525,-86.7153,-109.896
31918.6,11.6912,-157.735,-141.838,-86.7153,-107.066
31918.9,11.6912,-157.735,-144.119,-86.7153,-103.993
31919.1,11.6522,-162.869,-146.423,-76.64,-100.903
31919.3,11.6522,-162.869,-148.574,-76.64,-97.9556
31919.6,11.6522,-162.869,-150.712,-76.64,-94.8267
31919.8,11.6143,-167.359,-152.844,-66.2613,-91.6207
31920,11.6143,-167.359,-154.79,-66.2613,-88.5215
31920.1,11.6143,-167.359,-156.69,-66.2613,-85.2267
31920.4,11.662,-171.19,-158.608,-55.6219,-81.9129
31920.6,11.662,-171.19,-160.36,-55.6219,-78.6892
31920.6,11.662,-171.19,-162.049,-55.6219,-75.283
31920.8,11.662,-171.19,-163.725,-55.6219,-71.8815
31921,11.625,-174.345,-165.213,-44.7633,-68.8178
31921.2,11.625,-174.345,-166.416,-44.7633,-65.9994
31921.5,11.625,-174.345,-167.501,-44.7633,-63.0554
31921.6,11.589,-176.811,-168.641,-33.728,-59.9953
31921.8,11.589,-176.811,-169.792,-33.728,-56.9387
31922,11.589,-176.811,-170.984,-33.728,-53.5692
31922.3,11.5676,-178.581,-172.14,-22.5588,-50.2163
31922.3,11.5676,-178.581,-173.101,-22.5588,-46.9001
31923.2,11.5676,-178.581,-173.982,-22.5588,-43.3576
31922.6,11.5333,-179.644,-174.898,-11.3019,-39.8507
31922.7,11.5333,-179.644,-175.626,-11.3019,-36.3342
31923,11.5333,-179.644,-176.344,-11.3019,-32.7087
31923.1,11.5132,-180,-176.988,0,-29.1188
31923.3,11.5132,-180,-177.535,0,-25.5739
31923.5,11.5132,-180,-178.017,0,-21.8513
31923.6,11.4805,-179.644,-178.391,11.3019,-18.1523
31923.9,11.4805,-179.644,-178.693,11.3019,-14.5719
31924,11.4805,-179.644,-178.87,11.3019,-10.7698
31924,11.4487,-178.581,-179.024,22.5588,-7.01274
31924.2,11.4487,-178.581,-179.126,22.5588,-3.37896
31924.4,11.4487,-178.581,-179.098,22.5588,0.453926
31924.6,11.4487,-178.581,-179.005,22.5588,4.21926
31924.8,11.4177,-176.811,-178.933,33.728,7.61244
31925,11.4177,-176.811,-178.857,33.728,10.7461
31925.3,11.4177,-176.811,-178.656,33.728,13.9876
31924.9,11.5875,-174.345,-178.31,44.7633,17.2824
31924.8,11.5875,-174.345,-177.992,44.7633,20.6104
31924.8,11.5875,-174.345,-177.595,44.7633,24.1588
31924.5,11.7531,-171.19,-177.02,55.6219,27.6527
31924.7,11.7531,-171.19,-176.439,55.6219,31.0886
31924.8,11.7531,-171.19,-175.737,55.6219,34.7153
31924.9,11.7195,-167.359,-174.905,66.2613,38.3633
31925.1,11.7195,-167.359,-174.111,66.2613,41.8276
31925.3,11.7195,-167.359,-173.251,66.2613,45.4471
31925.4,11.6747,-162.869,-172.249,76.64,49.0418
31925.5,11.6747,-162.869,-171.255,76.64,52.4042
31925.7,11.6747,-162.869,-170.181,76.64,56.1055
31925.9,11.631,-157.735,-168.95,86.7153,59.6492
31926.9,11.631,-157.735,-167.711,86.7153,63.1265
31926.2,11.631,-157.735,-166.412,86.7153,66.7307
31926.3,11.6,-151.979,-164.971,96.448,70.2483
31926.5,11.6,-151.979,-163.577,96.448,73.6356
31926.8,11.6,-151.979,-162.106,96.448,77.1567
31926.8,11.5581,-145.623,-160.472,105.8,80.5499
