Average timer callback time, Average topic callback time,Desired Position Motor #1,Present Position Motor #1,Desired Position Motor #2,Present Position Motor #2
31906.5,11.771,171.19,175.634,-55.6219,5.5763
31907.6,11.7424,167.359,175.487,-66.2613,-0.689778
31907.1,11.7424,167.359,174.943,-66.2613,-6.97007
31907.2,11.7218,162.869,173.977,-76.64,-13.2267
31907.5,11.7218,162.869,172.853,-76.64,-19.4833
31907.7,11.7164,157.735,171.434,-86.7153,-25.7209
31907.9,11.6889,151.979,169.935,-96.448,-32.0308
31908.2,11.6889,151.979,168.315,-96.448,-38.2329
31908.3,11.6765,145.623,166.266,-105.8,-44.4267
31908.6,11.6569,138.692,164.063,-114.735,-50.7769
31908.9,11.6569,138.692,161.731,-114.735,-57.0513
31908.9,11.6812,131.214,158.925,-123.218,-63.3541
31909,11.6691,123.218,155.992,-131.214,-69.6948
31910.2,11.6691,123.218,152.993,-131.214,-75.776
31909.4,11.6786,114.736,149.443,-138.692,-82.0278
31910.6,11.6525,105.801,145.852,-145.623,-88.3781
31910.1,11.6525,105.801,142.044,-145.623,-94.707
31910,11.6408,96.4484,137.98,-151.979,-100.998
31910.3,11.6408,96.4484,133.912,-151.979,-107.301
31910.6,11.6294,86.7154,129.426,-157.735,-113.505
31910.5,11.6181,76.6403,125.008,-162.868,-119.719
31910.8,11.6181,76.6403,120.614,-162.868,-125.896
31911,11.6207,66.2618,115.703,-167.359,-131.694
31911.1,11.6027,55.6229,110.77,-171.189,-137.344
31911.4,11.6027,55.6229,105.909,-171.189,-142.648
31911.6,11.5918,44.7638,100.47,-174.344,-147.66
31911.7,11.5811,33.7283,95.0641,-176.811,-152.247
31912,11.5811,33.7283,89.6475,-176.811,-156.555
31912.2,11.5638,22.5594,83.7503,-178.58,-160.435
31912.4,11.5638,22.5594,78.1859,-178.58,-163.861
31912.6,11.56,11.3016,72.1432,-179.644,-166.697
31912.8,11.5695,0,66.1987,-180,-169.084
31913,11.5695,0,60.3962,-180,-171.24
31913.1,11.5592,-11.3016,54.2114,-179.644,-172.914
31913.3,11.5686,-22.5594,48.1076,-178.58,-174.163
31913.6,11.5686,-22.5594,42.1818,-178.58,-175.033
31913.7,11.5649,-33.7283,35.8413,-176.811,-175.657
31913.9,11.5484,-44.7638,29.6099,-174.344,-176.096
31914.2,11.5484,-44.7638,23.5994,-174.344,-176.113
31914.3,11.5385,-55.6229,17.1859,-171.189,-175.876
31915.2,11.5385,-55.6229,11.1309,-171.189,-175.439
31914.7,11.5223,-66.2618,4.67212,-167.359,-174.67
31915,11.5127,-76.6403,-1.55068,-162.868,-173.72
31915,11.5127,-76.6403,-7.58843,-162.868,-172.314
31915.2,11.5346,-86.7154,-14.063,-157.735,-170.631
31915.4,11.55,-96.4484,-20.3554,-151.979,-168.873
31915.4,11.55,-96.4484,-26.4232,-151.979,-166.747
31915.6,11.5342,-105.801,-32.8755,-145.623,-164.357
31915.7,11.5247,-114.736,-39.1665,-138.692,-161.875
31915.9,11.5247,-114.736,-45.2516,-138.692,-158.893
31916,11.5092,-123.218,-51.7641,-131.214,-155.706
31916.1,11.5092,-123.218,-57.832,-131.214,-152.43
31916.2,11.5122,-131.214,-64.2901,-123.218,-149.017
31916.4,11.4909,-138.692,-70.6341,-114.735,-145.531
31916.6,11.4909,-138.692,-76.7091,-114.735,-141.736
31916.8,11.4759,-145.623,-83.1966,-105.8,-137.741
31916.9,11.4611,-151.979,-89.4531,-96.448,-133.641
31917.1,11.4611,-151.979,-95.5834,-96.448,-129.154
31918,11.4464,-157.735,-102.018,-86.7153,-124.454
31917.4,11.4379,-162.869,-108.268,-76.64,-119.685
31917.8,11.4379,-162.869,-114.197,-76.64,-114.586
31917.7,11.4235,-167.359,-120.427,-66.2613,-109.301
31917.8,11.4235,-167.359,-126.096,-66.2613,-103.941
31917.9,11.4152,-171.19,-131.864,-55.6219,-98.4972
31918.1,11.3953,-174.345,-137.172,-44.7633,-93.0287
31918.3,11.3953,-174.345,-142.109,-44.7633,-87.3896
31918.4,11.4162,-176.811,-147.102,-33.728,-81.6427
31918.7,11.408,-178.581,-151.601,-22.5588,-75.8199
31918.7,11.408,-178.581,-155.68,-22.5588,-69.9259
31918.8,11.4229,-179.644,-159.689,-11.3019,-63.9775
31918.9,11.4091,-180,-163.166,0,-57.9212
31919.1,11.4091,-180,-166.168,0,-51.8803
31919.4,11.4294,-179.644,-168.905,11.3019,-45.7268
31919.2,11.4213,-178.581,-171.053,22.5588,-39.4607
31919.3,11.4213,-178.581,-172.647,22.5588,-33.2622
31919.4,11.4413,-176.811,-173.848,33.728,-27.2296
31919.6,11.4413,-176.811,-174.692,33.728,-20.8794
31920.3,11.45,-174.345,-175.276,44.7633,-14.6228
31920,11.442,-171.19,-175.53,55.6219,-8.29748
31920,11.442,-171.19,-175.456,55.6219,-1.9923
31919.9,11.489,-167.359,-174.984,66.2613,4.28563
31920.1,11.4645,-162.869,-174.284,76.64,10.5481
31920.3,11.4645,-162.869,-173.328,76.64,16.8521
31920.4,11.4402,-157.735,-171.964,86.7153,22.925
31920.5,11.4162,-151.979,-170.449,96.448,29.2113
31920.7,11.4162,-151.979,-168.742,96.448,35.5354
31920.8,11.3978,-145.623,-166.567,105.8,41.8643
31921.1,11.3978,-145.623,-164.356,105.8,48.1825
31921.2,11.3904,-138.692,-161.846,114.735,54.5126
31921.2,11.3777,-131.214,-159.29,123.218,60.7917
31921.4,11.3777,-131.214,-156.631,123.218,67.0376
31921.6,11.3651,-123.218,-153.534,131.214,73.3156
31921.7,11.3474,-114.736,-150.334,138.692,79.6148
31921.9,11.3474,-114.736,-147.066,138.692,85.8998
31921.9,11.3351,-105.801,-143.276,145.623,92.2418
31922.1,11.3125,-96.4484,-139.426,151.979,98.4972
31922.3,11.3125,-96.4484,-135.502,151.979,104.815
31922.4,11.2902,-86.7154,-131.065,157.735,111.151
31922.7,11.2902,-86.7154,-126.721,157.735,117.47
31923.2,11.2784,-76.6403,-121.962,162.868,123.458
31922.7,11.2564,-66.2618,-117.299,167.359,129.32
31922.9,11.2564,-66.2618,-112.657,167.359,135.068
31923,11.2347,-55.6229,-107.49,171.189,140.462
31923,11.2234,-44.7638,-102.376,174.344,145.519
31923.2,11.2234,-44.7638,-97.2632,174.344,150.35
31923.3,11.2071,-33.7283,-91.6213,176.811,154.722
31923.3,11.196,-22.5594,-86.105,178.58,158.716
31923.5,11.196,-22.5594,-80.5729,178.58,162.327
31923.5,11.185,-11.3016,-74.5158,179.644,165.491
