Average timer callback time, Average topic callback time,Desired Position Motor #1,Present Position Motor #1,Desired Position Motor #2,Present Position Motor #2
31860.9,0,0,751.9,0,0.606815
31862.1,0,0,751.9,0,0.606815
31863.4,0,0,751.9,0,0.606815
31864.4,0,0,751.9,0,0.606815
31866.2,0,0,751.9,0,0.606815
31866.7,0,0,751.9,0,0.606815
31868.5,0,0,751.9,0,0.606815
31869,0,0,751.9,0,0.606815
31871.2,0,0,751.9,0,0.606815
31871.7,0,0,751.9,0,0.606815
31872,0,0,751.9,0,0.606815
31873,0,0,751.9,0,0.606815
31873.9,0,0,751.9,0,0.606815
31875,0,0,751.9,0,0.606815
31875.8,0,0,751.9,0,0.606815
31876.7,0,0,751.9,0,0.606815
31877.5,0,0,751.9,0,0.606815
31878.3,0,0,751.9,0,0.606815
31879.1,0,0,751.9,0,0.606815
31879.9,0,0,751.9,0,0.606815
31880.7,0,0,751.9,0,0.606815
31881.3,0,0,751.9,0,0.606815
31882.1,0,0,751.9,0,0.606815
31882.8,0,0,751.9,0,0.606815
31883.4,0,0,751.9,0,0.606815
31884.1,0,0,751.9,0,0.606815
31884.3,0,0,751.9,0,0.606815
31885.4,0,0,751.9,0,0.606815
31887.3,0,0,751.9,0,0.606815
31886.7,0,0,751.9,0,0.606815
31887.5,0,0,751.9,0,0.606815
31888.3,0,0,751.9,0,0.606815
31888.7,0,0,751.9,0,0.606815
31889.4,0,0,751.9,0,0.606815
31890.1,0,0,751.9,0,0.606815
31890.8,0,0,751.9,0,0.606815
31891.5,0,0,751.9,0,0.606815
31892.2,0,0,751.9,0,0.606815
31893,0,0,751.9,0,0.606815
31893.6,0,0,751.9,0,0.606815
31895.6,0,0,751.9,0,0.606815
31894.7,0,0,751.9,0,0.606815
31895.3,0,0,751.9,0,0.606815
31895.8,0,0,751.9,0,0.606815
31896.3,0,0,751.9,0,0.606815
31896.9,0,0,751.9,0,0.606815
31897.4,0,0,751.9,0,0.606815
31897.9,0,0,751.9,0,0.606815
31898.5,0,0,751.9,0,0.606815
31899.1,0,0,751.9,0,0.606815
31899.5,0,0,751.9,0,0.606815
31900.1,0,0,751.9,0,0.606815
31900.5,0,0,751.9,0,0.606815
31901,0,0,751.9,0,0.606815
31901.4,0,0,751.9,0,0.606815
31901.9,0,0,751.9,0,0.606815
31902.6,0,0,751.9,0,0.606815
31903,0,0,751.9,0,0.606815
31903.4,0,0,751.9,0,0.606815
31903.8,0,0,751.9,0,0.606815
31904.4,0,0,751.9,0,0.606815
31904.8,0,0,751.9,0,0.606815
31905.3,0,0,751.9,0,0.606815
31905.8,0,0,751.9,0,0.606815
31906.2,0,0,751.9,0,0.606815
31906.3,0,0,751.9,0,0.606815
31906.8,0,0,751.9,0,0.606815
31907.5,0,0,751.9,0,0.606815
31907.6,0,0,751.9,0,0.606815
31908,0,0,751.9,0,0.606815
31908.4,0,0,751.9,0,0.606815
31908.8,0,0,751.9,0,0.606815
31909.2,0,0,751.9,0,0.606815
31909.5,0,0,751.9,0,0.606815
31909.9,0,0,751.9,0,0.606815
31910.4,0,0,751.9,0,0.606815
31910.7,0,0,751.9,0,0.606815
31911.1,0,0,751.9,0,0.606815
31911.8,0,0,751.9,0,0.606815
31912.2,0,0,751.9,0,0.606815
31912.2,0,0,751.9,0,0.606815
31912.6,0,0,751.9,0,0.606815
31913,0,0,751.9,0,0.606815
31913.6,0,0,751.9,0,0.606815
31913.5,0,0,751.9,0,0.606815
31913.7,0,0,751.9,0,0.606815
31914.1,0,0,751.9,0,0.606815
31914.5,0,0,751.9,0,0.606815
31914.9,0,0,751.9,0,0.606815
31915.3,0,0,751.9,0,0.606815
31915.6,0,0,751.9,0,0.606815
31916,0,0,751.9,0,0.606815
31916.3,0,0,751.9,0,0.606815
31916.5,0,0,751.9,0,0.606815
31916.8,0,0,751.9,0,0.606815
31917.1,0,0,751.9,0,0.606815
31917.4,0,0,751.9,0,0.606815
31917.8,0,0,751.9,0,0.606815
31917.9,0,0,751.9,0,0.606815
31918.2,0,0,751.9,0,0.606815
31918.5,0,0,751.9,0,0.606815
31918.7,0,0,751.9,0,0.606815
31919,0,0,751.9,0,0.606815
31919.3,0,0,751.9,0,0.606815
31919.6,0,0,751.9,0,0.606815
31919.9,0,0,751.9,0,0.606815
31920.2,0,0,751.9,0,0.606815
31920.5,0,0,751.9,0,0.606815
31920.7,0,0,751.9,0,0.606815
31921,0,0,751.9,0,0.606815
31921.4,0,0,751.9,0,0.606815
31922.4,0,0,751.9,0,0.606815
31921.9,0,0,751.9,0,0.606815
31922.3,0,0,751.9,0,0.606815
31922.5,0,0,751.9,0,0.606815
31922.3,0,0,751.9,0,0.606815
31922.5,0,0,751.9,0,0.606815
31922.7,0,0,751.9,0,0.606815
31922.8,0,0,751.9,0,0.606815
31922.9,0,0,751.9,0,0.606815
31923.3,0,0,751.9,0,0.606815
31923.5,0,0,751.9,0,0.606815
31923.8,0,0,751.9,0,0.606815
31924,0,0,751.9,0,0.606815
31924.3,0,0,751.9,0,0.606815
31924.3,0,0,751.9,0,0.606815
31924.5,0,0,751.9,0,0.606815
31924.7,0,0,751.9,0,0.606815
31924.9,0,0,751.9,0,0.606815
31925,0,0,751.9,0,0.606815
31925.3,0,0,751.9,0,0.606815
31925.4,0,0,751.9,0,0.606815
31925.6,0,0,751.9,0,0.606815
31925.9,0,0,751.9,0,0.606815
31926.1,0,0,751.9,0,0.606815
31926.3,0,0,751.9,0,0.606815
31926.5,0,0,751.9,0,0.606815
31926.7,0,0,751.9,0,0.606815
31926.9,0,0,751.9,0,0.606815
31927.2,0,0,751.9,0,0.606815
31927.4,0,0,751.9,0,0.606815
31927.7,0,0,751.9,0,0.606815
31927.9,0,0,751.9,0,0.606815
31928,0,0,751.9,0,0.606815
31928.2,0,0,751.9,0,0.606815
31928.2,0,0,751.9,0,0.606815
31928.5,0,0,751.9,0,0.606815
