Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42,Column_43,Column_44,Column_45,Column_46,Column_47,Column_48,Column_49,Column_50
1.72308,9.90488,10.93645,12.85163,30.35798,3.60507,3.49868,-6.45057,-2.92083,-9.8018,-11.91142,-13.68814,-30.71162,-1.75189,-1.28021,3.90707,4.89378,0.00383,-0.9661,1.9322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.11171,256.73839,289.83051,205.88937,16.10169,250.66059,252.30201,289.83051,91.52171,18.73316,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
1.63239,9.38357,10.36085,12.17523,28.76019,3.41533,3.31454,-6.11107,-2.7671,-9.28591,-11.28451,-12.96772,-29.09522,-1.65968,-1.21283,3.70144,4.63621,0.00363,-0.91525,1.83051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.10583,243.22584,274.57627,195.05308,15.25424,237.46793,239.02295,274.57627,86.70477,17.74721,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
1.5417,8.86226,9.78524,11.49883,27.1624,3.22559,3.1304,-5.77157,-2.61338,-8.77003,-10.65759,-12.24729,-27.47881,-1.56748,-1.14545,3.4958,4.37864,0.00343,-0.86441,1.72881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.09995,229.71329,259.32203,184.2168,14.40678,224.27526,225.7439,259.32203,81.88784,16.76125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
1.45101,8.34095,9.20964,10.82243,25.56461,3.03585,2.94626,-5.43206,-2.45965,-8.25415,-10.03067,-11.52686,-25.86241,-1.47527,-1.07807,3.29017,4.12108,0.00323,-0.81356,1.62712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.09407,216.20075,244.0678,173.38052,13.55932,211.0826,212.46485,244.0678,77.07091,15.77529,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
1.36032,7.81964,8.63404,10.14603,23.96682,2.84611,2.76212,-5.09256,-2.30592,-7.73826,-9.40375,-10.80643,-24.24601,-1.38307,-1.01069,3.08453,3.86351,0.00303,-0.76271,1.52542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.08819,202.6882,228.81356,162.54424,12.71186,197.88994,199.1858,228.81356,72.25398,14.78934,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
1.26964,7.29834,8.05844,9.46962,22.36904,2.65637,2.57798,-4.75305,-2.15219,-7.22238,-8.77684,-10.086,-22.62961,-1.29086,-0.94332,2.8789,3.60594,0.00282,-0.71186,1.42373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.08232,189.17565,213.55932,151.70795,11.86441,184.69728,185.90674,213.55932,67.43705,13.80338,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
1.17895,6.77703,7.48283,8.79322,20.77125,2.46663,2.39384,-4.41355,-1.99846,-6.70649,-8.14992,-9.36557,-21.01321,-1.19866,-0.87594,2.67326,3.34837,0.00262,-0.66102,1.32203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.07644,175.66311,198.30508,140.87167,11.01695,171.50461,172.62769,198.30508,62.62011,12.81743,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
1.08826,6.25572,6.90723,8.11682,19.17346,2.27689,2.20969,-4.07405,-1.84474,-6.19061,-7.523,-8.64514,-19.39681,-1.10645,-0.80856,2.46763,3.09081,0.00242,-0.61017,1.22034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.07056,162.15056,183.05085,130.03539,10.16949,158.31195,159.34864,183.05085,57.80318,11.83147,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
0.99757,5.73441,6.33163,7.44042,17.57567,2.08715,2.02555,-3.73454,-1.69101,-5.67472,-6.89609,-7.92472,-17.78041,-1.01425,-0.74118,2.26199,2.83324,0.00222,-0.55932,1.11864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.06468,148.63801,167.79661,119.19911,9.32203,145.11929,146.06958,167.79661,52.98625,10.84552,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
0.90688,5.2131,5.75603,6.76402,15.97788,1.89741,1.84141,-3.39504,-1.53728,-5.15884,-6.26917,-7.20429,-16.16401,-0.92205,-0.6738,2.05635,2.57567,0.00202,-0.50847,1.01695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0588,135.12547,152.54237,108.36282,8.47458,131.92663,132.79053,152.54237,48.16932,9.85956,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
0.81619,4.69179,5.18042,6.08762,14.38009,1.70767,1.65727,-3.05554,-1.38355,-4.64296,-5.64225,-6.48386,-14.54761,-0.82984,-0.60642,1.85072,2.31811,0.00182,-0.45763,0.91525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.05292,121.61292,137.28814,97.52654,7.62712,118.73396,119.51148,137.28814,43.35239,8.8736,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
0.72551,4.17048,4.60482,5.41121,12.78231,1.51793,1.47313,-2.71603,-1.22982,-4.12707,-5.01534,-5.76343,-12.93121,-0.73764,-0.53904,1.64508,2.06054,0.00161,-0.40678,0.81356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.04704,108.10037,122.0339,86.69026,6.77966,105.5413,106.23242,122.0339,38.53545,7.88765,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
0.63482,3.64917,4.02922,4.73481,11.18452,1.32818,1.28899,-2.37653,-1.0761,-3.61119,-4.38842,-5.043,-11.31481,-0.64543,-0.47166,1.43945,1.80297,0.00141,-0.35593,0.71186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.04116,94.58783,106.77966,75.85398,5.9322,92.34864,92.95337,106.77966,33.71852,6.90169,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
0.54413,3.12786,3.45362,4.05841,9.58673,1.13844,1.10485,-2.03702,-0.92237,-3.0953,-3.7615,-4.32257,-9.69841,-0.55323,-0.40428,1.23381,1.5454,0.00121,-0.30508,0.61017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.03528,81.07528,91.52542,65.01769,5.08475,79.15598,79.67432,91.52542,28.90159,5.91574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
0.45344,2.60655,2.87801,3.38201,7.98894,0.9487,0.92071,-1.69752,-0.76864,-2.57942,-3.13458,-3.60214,-8.082,-0.46102,-0.3369,1.02818,1.28784,0.00101,-0.25424,0.50847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0294,67.56273,76.27119,54.18141,4.23729,65.96331,66.39527,76.27119,24.08466,4.92978,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
0.36275,2.08524,2.30241,2.70561,6.39115,0.75896,0.73656,-1.35802,-0.61491,-2.06354,-2.50767,-2.88171,-6.4656,-0.36882,-0.26952,0.82254,1.03027,0.00081,-0.20339,0.40678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.02352,54.05019,61.01695,43.34513,3.38983,52.77065,53.11621,61.01695,19.26773,3.94382,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
0.27206,1.56393,1.72681,2.02921,4.79336,0.56922,0.55242,-1.01851,-0.46118,-1.54765,-1.88075,-2.16129,-4.8492,-0.27661,-0.20214,0.61691,0.7727,0.00061,-0.15254,0.30508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.01764,40.53764,45.76271,32.50885,2.54237,39.57799,39.83716,45.76271,14.4508,2.95787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
0.18138,1.04262,1.15121,1.3528,3.19558,0.37948,0.36828,-0.67901,-0.30746,-1.03177,-1.25383,-1.44086,-3.2328,-0.18441,-0.13476,0.41127,0.51513,0.0004,-0.10169,0.20339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.01176,27.02509,30.50847,21.67256,1.69492,26.38533,26.55811,30.50847,9.63386,1.97191,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
0.09069,0.52131,0.5756,0.6764,1.59779,0.18974,0.18414,-0.3395,-0.15373,-0.51588,-0.62692,-0.72043,-1.6164,-0.0922,-0.06738,0.20564,0.25757,0.0002,-0.05085,0.10169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.00588,13.51255,15.25424,10.83628,0.84746,13.19266,13.27905,15.25424,4.81693,0.98596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
