theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,
-66.5582570400817,82.2628285306136,-16.4550175434735,51.9914434628027,65.9794644654032,80.8512434852585,18.5129668135493,-51.9914434628027,0,0,0,0,0,
-84.527489705076,82.4199141068381,-5.97188527187593,51.9914434628027,84.2778491728405,80.8676259996051,7.94913387360015,-51.9914434628026,0,0,0,0,0,
-99.2753690904483,84.7535115396247,6.1743332053799,51.9914434628026,99.2911571083361,82.3876819104332,-1.94928853060184,-51.9914434628026,0,0,0,0,0,
-110.536970461714,86.6901063747819,18.6776724363556,51.9914434628026,110.691225912932,85.1199707737405,-15.4011116533123,-51.9914434628027,0,0,0,0,0,
-116.754175228761,87.3664903825225,30.4999810731413,51.9914434628026,117.466464846923,86.148679244698,-27.1984229988121,-51.9914434628026,0,0,0,0,0,
-120.784834155754,84.8791773426132,38.7631539912156,51.9914434628026,122.335568425125,83.8900282355707,-35.7041211864379,-51.9914434628026,0,0,0,0,0,
-126.466904000674,84.3146580620145,44.5362647006913,51.9914434628026,127.949002231093,83.3958550854828,-41.471191561469,-51.9914434628026,0,0,0,0,0,
-131.149851479116,83.6800459827295,47.5210999454724,51.9914434628027,132.07279983108,83.9647355159953,-46.5009465266255,-51.9914434628026,0,0,0,0,0,
-135.751191150408,84.7374218869844,50.9457976267396,51.9914434628026,136.763230345033,84.8333088986863,-48.5866540664935,-51.9914434628026,0,0,0,0,0,
-138.398228010266,85.6563071319675,50.6896794350089,51.9914434628026,138.415761414498,86.9970321427955,-50.3171062085551,-51.9914434628026,0,0,0,0,0,
-139.119997356113,87.6311768218741,52.4935449258247,51.9914434628027,139.420004258079,88.6184617862596,-49.867756042148,-51.9914434628026,0,0,0,0,0,
-139.321932904135,88.1519112802201,49.9969539965347,51.9914434628027,139.38271972841,89.3952314814205,-47.2593827140031,-51.9914434628027,0,0,0,0,0,
-136.152877022588,89.343790551485,47.2743032963569,51.9914434628027,136.081494357781,90.3438615415099,-44.5614784911666,-51.9914434628026,0,0,0,0,0,
-131.030639114725,87.9564805321245,40.4469159627559,51.9914434628027,131.216873844539,88.7296765245606,-37.7385901655353,-51.9914434628026,0,0,0,0,0,
-124.619842646821,86.794662657311,33.243278591078,51.9914434628026,124.780793029949,87.9207826836551,-33.0677634717722,-51.9914434628027,0,0,0,0,0,
-119.570133113434,87.9632577607324,28.1698533403065,51.9914434628027,118.987653273902,87.8301984055736,-26.7050792497886,-51.9914434628026,0,0,0,0,0,
-112.492967793076,87.8317579699394,21.2251054565909,51.9914434628026,112.198390869185,87.5700520580341,-19.9584497525019,-51.9914434628027,0,0,0,0,0,
-104.645790050236,85.8945035235948,10.9088302056851,51.9914434628026,103.927255973464,84.9584946979451,-8.70012138038582,-51.9914434628027,0,0,0,0,0,
-88.7127901170636,79.9398560141078,-4.90153593627733,51.9914434628027,86.1743803323488,78.9284060201126,7.11255192546629,-51.9914434628027,0,0,0,0,0,
-64.5707562696642,83.3670594625746,-16.9998901929542,62.561931888165,63.692102408571,81.8054536778839,18.9612757280372,-64.4588690917382,0,0,0,0,0,
-28.7401769604562,78.7054803703759,-30.8377296904188,54.3506745851271,28.1549055955147,77.4512056323009,30.3569246835079,-54.6556728732417,0,0,0,0,0,
-12.2039434468307,79.6011001976789,-36.3339033628294,51.9914434628026,10.9830169394263,77.8988223974251,38.3531678398414,-51.9914434628027,0,0,0,0,0,
-6.13343664504378,84.7155303829721,-30.4112102739178,51.9914434628026,4.31795878963463,82.4784219857505,34.7445161360915,-51.9914434628027,0,0,0,0,0,
3.94873740123433,85.2207753987654,-28.0295255808486,51.9914434628027,-5.51734000952175,82.7380728079445,32.268188254721,-51.9914434628027,0,0,0,0,0,
10.404252308422,86.4458084600328,-25.9187727339723,51.9914434628026,-11.5992266312298,84.2130238543012,30.2285298489446,-51.9914434628027,0,0,0,0,0,
