theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13
-152.181518365683,23.4654855747593,98.5623628042341,51.9914434628026,155,23.6537768857793,-103.179273176263,-51.9914434628026,0,0,0,0,0
-152.158134275187,23.4413838192015,98.5355368126626,51.9914434628026,155,23.5925763511047,-103.064088031805,-51.9914434628027,0,0,0,0,0
-152.036469856013,23.382873669176,98.3990560849807,51.9914434628026,154.919351497137,23.5327569227589,-102.919994925093,-51.9914434628026,0,0,0,0,0
-151.975725613068,23.3783072727049,98.3320489838008,51.9914434628026,152.462313334519,23.3238584678502,-102.863088286497,-51.9914434628026,0,0,0,0,0
-151.882560328774,23.2896553350267,98.2256808718782,51.9914434628025,152.347633946271,23.2201563570608,-102.729202449841,-51.9914434628026,0,0,0,0,0
-151.835499616162,23.2948275569799,98.1741930505783,51.9914434628026,152.295573720509,23.2335242639462,-102.672665397824,-51.9914434628026,0,0,0,0,0
-151.830028234927,23.2649918081319,98.1668597593379,51.9914434628026,152.140684363827,23.1979698713115,-102.499266197533,-51.9914434628026,0,0,0,0,0
-151.748734535676,23.1916532019047,98.0743111300862,51.9914434628026,152.000374642164,23.1650207792647,-102.3422206141,-51.9914434628026,0,0,0,0,0
-151.756559886333,23.1537226971512,98.0812144360045,51.9914434628026,151.972567880028,23.1397429026268,-102.309838764085,-51.9914434628026,0,0,0,0,0
-151.65942102385,23.1457478832187,97.9742227078065,51.9914434628026,151.972942347954,23.115442573785,-102.308604790336,-51.9914434628026,0,0,0,0,0
-151.520634206238,23.1137092868167,97.8205015018664,51.9914434628026,151.819635757644,23.0869654205414,-102.137659379832,-51.9914434628026,0,0,0,0,0
-149.046734880077,22.9580341419748,97.7520245092967,51.9914434628026,151.719081805305,23.0236121573672,-102.022607026343,-51.9914434628027,0,0,0,0,0
-148.77671205812,22.9377020990022,97.4551139488466,51.9914434628027,151.715652126538,23.0038811530088,-102.017511183049,-51.9914434628026,0,0,0,0,0
-148.710084012746,22.8971791823995,97.3804483228966,51.9914434628026,151.658559625514,22.9755561394733,-101.952732399635,-51.9914434628026,0,0,0,0,0
-148.41916104072,22.8374154978592,97.0593670179744,51.9914434628026,151.554250127628,22.9257390775348,-101.834560688239,-51.9914434628026,0,0,0,0,0
-148.321848097858,22.7926851201215,96.9510777808091,51.9914434628026,151.574709144292,22.8683517057329,-101.853263464943,-51.9914434628026,0,0,0,0,0
-148.089142020531,22.8362644308464,96.6979744875046,51.9914434628026,151.565235028534,22.8827537739589,-101.843797086612,-51.9914434628026,0,0,0,0,0
-148.018410548087,22.8434740843584,96.6208089900119,51.9914434628026,151.683381289164,22.9113979171723,-101.975770862168,-51.9914434628026,0,0,0,0,0
